track_id,is_dev,target_id,method_id,metric_id,target,method,metric,score,title,genre,filename
9,0,2,0,2,drums,CHA,SDR,0.36404832563761597,Bobby Nobody - Stitch Up,Pop/Rock,9_CHA_drums.m4a
9,0,3,0,2,other,CHA,SDR,1.382643107690178,Bobby Nobody - Stitch Up,Pop/Rock,9_CHA_other.m4a
9,0,4,0,2,vocals,CHA,SDR,2.307150268314824,Bobby Nobody - Stitch Up,Pop/Rock,9_CHA_vocals.m4a
10,0,0,0,2,accompaniment,CHA,SDR,2.5330331146679885,Carlos Gonzalez - A Place For Us,Pop/Rock,10_CHA_accompaniment.m4a
10,0,1,0,2,bass,CHA,SDR,-7.430455616767388,Carlos Gonzalez - A Place For Us,Pop/Rock,10_CHA_bass.m4a
10,0,2,0,2,drums,CHA,SDR,-0.8279435594374028,Carlos Gonzalez - A Place For Us,Pop/Rock,10_CHA_drums.m4a
10,0,3,0,2,other,CHA,SDR,1.645880872539942,Carlos Gonzalez - A Place For Us,Pop/Rock,10_CHA_other.m4a
10,0,4,0,2,vocals,CHA,SDR,1.5241623702628004,Carlos Gonzalez - A Place For Us,Pop/Rock,10_CHA_vocals.m4a
11,0,0,0,2,accompaniment,CHA,SDR,3.214894638527775,Cnoc An Tursa - Bannockburn,Heavy Metal,11_CHA_accompaniment.m4a
11,0,1,0,2,bass,CHA,SDR,-3.4447564949334333,Cnoc An Tursa - Bannockburn,Heavy Metal,11_CHA_bass.m4a
11,0,2,0,2,drums,CHA,SDR,3.1330883692414755,Cnoc An Tursa - Bannockburn,Heavy Metal,11_CHA_drums.m4a
11,0,3,0,2,other,CHA,SDR,1.5815966348036077,Cnoc An Tursa - Bannockburn,Heavy Metal,11_CHA_other.m4a
11,0,4,0,2,vocals,CHA,SDR,0.6614660908307834,Cnoc An Tursa - Bannockburn,Heavy Metal,11_CHA_vocals.m4a
12,0,0,0,2,accompaniment,CHA,SDR,3.5294518288600685,Dark Ride - Burning Bridges,Heavy Metal,12_CHA_accompaniment.m4a
12,0,1,0,2,bass,CHA,SDR,-2.120717146719901,Dark Ride - Burning Bridges,Heavy Metal,12_CHA_bass.m4a
